# Generated by process-sam-gravity-data.ipynb on 17 January 2016 20:04:32 UTC
# shape (nlat, nlon):
# 81 61
# lat lon height topo gravity disturbance topo_effect bouguer upper_sediment middle_sediment lower_sediment total_sediment sedfree_bouguer
-58.00000 304.00000 50000.00000 -3979.00000 966542.75462 28.96572 -276.56429 305.53001 -25.94562 -1.88396 -0.04164 -27.87122 333.40123
-58.00000 305.00000 50000.00000 -3995.00000 966541.59503 27.80614 -278.91503 306.72116 -26.53508 -1.84103 -0.03951 -28.41562 335.13678
-58.00000 306.00000 50000.00000 -4155.00000 966536.58823 22.79933 -283.21701 306.01634 -27.00924 -1.79558 -0.03748 -28.84230 334.85865
-58.00000 307.00000 50000.00000 -4235.00000 966535.84174 22.05284 -284.29338 306.34622 -27.45752 -1.74935 -0.03565 -29.24253 335.58875
-58.00000 308.00000 50000.00000 -4278.00000 966537.90713 24.11823 -280.32557 304.44380 -27.80658 -1.70326 -0.03404 -29.54388 333.98768
-58.00000 309.00000 50000.00000 -3728.00000 966535.49431 21.70541 -272.87510 294.58051 -27.80216 -1.65785 -0.03263 -29.49265 324.07317
-58.00000 310.00000 50000.00000 -3872.00000 966533.99019 20.20129 -271.82870 292.02999 -26.81851 -1.61365 -0.03142 -28.46358 320.49356
-58.00000 311.00000 50000.00000 -4051.00000 966535.77258 21.98368 -266.87225 288.85593 -26.12195 -1.57120 -0.03037 -27.72352 316.57945
-58.00000 312.00000 50000.00000 -3209.00000 966538.63422 24.84532 -250.19300 275.03833 -27.06042 -1.53097 -0.02947 -28.62086 303.65918
-58.00000 313.00000 50000.00000 -3054.00000 966540.48133 26.69244 -239.79371 266.48615 -28.65477 -1.49324 -0.02869 -30.17670 296.66285
-58.00000 314.00000 50000.00000 -3125.00000 966538.77391 24.98501 -235.26648 260.25150 -29.88104 -1.45796 -0.02802 -31.36702 291.61852
-58.00000 315.00000 50000.00000 -2905.00000 966537.96970 24.18080 -228.89750 253.07830 -30.02023 -1.42470 -0.02743 -31.47236 284.55066
-58.00000 316.00000 50000.00000 -2708.00000 966538.74607 24.95717 -226.17438 251.13155 -29.03116 -1.39269 -0.02691 -30.45076 281.58231
-58.00000 317.00000 50000.00000 -2828.00000 966537.48231 23.69342 -231.03563 254.72904 -27.23315 -1.36095 -0.02645 -28.62054 283.34959
-58.00000 318.00000 50000.00000 -3125.00000 966534.96103 21.17214 -237.22563 258.39777 -24.62636 -1.32859 -0.02604 -25.98098 284.37875
-58.00000 319.00000 50000.00000 -3401.00000 966531.51362 17.72472 -239.03742 256.76214 -21.24167 -1.29509 -0.02566 -22.56243 279.32457
-58.00000 320.00000 50000.00000 -3343.00000 966530.27380 16.48490 -234.56341 251.04831 -19.53106 -1.26051 -0.02532 -20.81689 271.86520
-58.00000 321.00000 50000.00000 -3134.00000 966531.39607 17.60718 -229.90731 247.51449 -20.19935 -1.22539 -0.02500 -21.44974 268.96423
-58.00000 322.00000 50000.00000 -3207.00000 966531.72649 17.93760 -229.65699 247.59458 -20.99265 -1.19057 -0.02471 -22.20793 269.80251
-58.00000 323.00000 50000.00000 -3477.00000 966534.41478 20.62588 -228.59986 249.22573 -20.89080 -1.15688 -0.02443 -22.07210 271.29784
-58.00000 324.00000 50000.00000 -2598.00000 966537.32030 23.53141 -221.67273 245.20414 -18.96951 -1.12493 -0.02417 -20.11861 265.32275
-58.00000 325.00000 50000.00000 -3909.00000 966537.06970 23.28080 -226.72117 250.00197 -15.91309 -1.09507 -0.02392 -17.03208 267.03404
