# Synthetic point estimates of Moho depth (from CRUST1.0)
# Generated by sinthetic-crust1.ipynb on 12 February 2016 18:08:15 UTC
# Moho depth is given in meters.
# lat lon depth
-15.14310 -74.97980 38220.44487
-14.97520 -74.99000 42178.16675
-14.82520 -74.94130 48077.53194
-14.82570 -74.87830 50151.70480
-14.83120 -74.70400 55550.12826
-14.82590 -74.64170 57454.76888
-14.66900 -74.40520 65378.20849
-14.60270 -74.27330 67316.47636
-14.65060 -74.19790 66675.22395
-14.69470 -74.12460 65824.62613
-14.60490 -73.99730 67270.74830
-14.62320 -73.96420 66842.50594
-14.64470 -73.75670 65504.33166
-14.60990 -73.64700 65518.53708
-14.60160 -73.57220 65364.91098
-14.55840 -73.46820 65278.68062
-14.55860 -73.46800 65276.26990
-14.54960 -73.36010 64609.34966
-14.52030 -73.27700 64211.36538
-14.42760 -73.20640 64445.64511
-14.17410 -73.32270 66997.46823
-14.03880 -73.29950 67468.13823
-14.03800 -73.22860 67033.39247
-13.96240 -73.18130 66965.58729
-13.94070 -73.10240 66531.30622
-13.88110 -73.05720 66431.88592
-13.84900 -72.97890 66543.32687
-13.77560 -72.94160 67088.51058
-13.66960 -72.92570 67491.12832
-13.62430 -72.87710 67527.08897
-13.55230 -72.79590 67280.62724
-13.55460 -72.73820 67298.22058
-13.55140 -72.60810 67124.24594
-13.50530 -72.50410 66427.28167
-13.48060 -72.44530 65889.89405
-13.44300 -72.34420 64756.17831
-13.48720 -72.24910 64523.10796
-13.49480 -72.16570 63841.87272
-13.47940 -72.08920 62873.29382
-16.99950 -72.09870 34354.42367
-17.01740 -72.03130 33538.33350
-17.16440 -71.78910 29583.10438
-17.11160 -71.78800 30370.97857
-17.07070 -71.72430 30256.57133
-17.03400 -71.70710 30469.83238
-16.71610 -71.94750 37281.78151
-16.68140 -71.88980 37077.40746
-16.62670 -71.87280 37794.86511
-16.58050 -71.83770 38310.42524
-16.49680 -71.84090 40075.05493
-16.42630 -71.82380 41677.79273
-16.46290 -71.70900 40153.49020
-16.41760 -71.65320 41297.91721
-16.40190 -71.61480 41795.95559
-16.46610 -71.49320 40686.33739
-16.32530 -71.55590 44259.33997
-16.40550 -71.41420 42980.99594
