# Moho of South America estimated by gravity data inversion
# See the source code for the inversion at:
#   https://github.com/pinga-lab/paper-moho-inversion-tesseroids
# Generated by south-america-moho.ipynb on 11 February 2016 18:14:30 UTC
# Model grid shape (nlat, nlon):
#   201 151
# Latitude and longitude values correspond to the center of each
# model cell.
# Moho depth is provided in meters.
# Columns:
# lat lon Moho_depth
-58.40000 325.60000 20515.20043
-58.40000 326.00000 20270.12416
-58.40000 326.40000 19536.32313
-58.40000 326.80000 18640.75612
-58.40000 327.20000 17692.62908
-58.40000 327.60000 16816.55309
-58.40000 328.00000 16197.31527
-58.40000 328.40000 15613.78432
-58.40000 328.80000 14982.34472
-58.40000 329.20000 14907.86971
-58.40000 329.60000 16658.61294
-58.40000 330.00000 21242.32171
-58.00000 270.00000 24058.57452
-58.00000 270.40000 15863.78535
-58.00000 270.80000 11949.77987
-58.00000 271.20000 11008.84878
-58.00000 271.60000 11227.72177
-58.00000 272.00000 11823.86394
-58.00000 272.40000 12466.79211
-58.00000 272.80000 12919.92502
-58.00000 273.20000 13112.58888
-58.00000 273.60000 13091.83267
-58.00000 274.00000 13018.53983
-58.00000 274.40000 13029.77120
-58.00000 274.80000 13126.43744
-58.00000 275.20000 13229.26291
-58.00000 275.60000 13297.54167
-58.00000 276.00000 13325.95179
